Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
70140,"Mansonella, including a Potential New Species, as Common Parasites in Children in Gabon",(BLS) Parasitology;(HSC) Medicine - Infectious Disease;,"Aix-Marseille Université, URMITE, UM63, CNRS 7278, IRD 198, INSERM 1095, Marseille, France; Ecole Doctorale Régionale d'Afrique Centrale, Franceville, Gabon; Aix-Marseille Université, URMITE, UM63, CNRS 7278, IRD 198, INSERM 1095, Marseille, France; Unité de Parasitologie Médicale (UPARAM) CIRMF, Franceville, Gabon; Département de Parasitologie Mycologie et de Médecine Tropicale, Université des Science de la Santé, Libreville, Gabon; Département de Microbiologie, Laboratoire National de Référence IST/sida, Faculté de Médecine, Université des Sciences de la Santé, Libreville, Gabon; Unité de Parasitologie Médicale (UPARAM) CIRMF, Franceville, Gabon; Centre de Recherches Médicales de la Ngounié, Fougamou, Gabon;",PLoS Neglected Tropical Diseases,PLoS,France;Gabon,Gaël Mourembou;Florence Fenollar;Jean Bernard Lekana-Douki;Angelique Ndjoyi Mbiguino;Sydney Maghendji Nzondo;Pierre Blaise Matsiegui;Rella Zoleko Manego;Cyrille Herve Bile Ehounoud;Fadi Bittar;Didier Raoult;Oleg Mediannikov,https://retractionwatch.com/2022/12/13/plos-flags-nearly-50-papers-by-controversial-french-covid-researcher-for-ethics-concerns/;https://retractionwatch.com/?s=Didier+Raoult,Research Article;,2026-04-07,10.1371/journal.pntd.0014178,41945517.0,2015-10-20,10.1371/journal.pntd.0004155,26484866.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Human Subject Welfare;Conflict of Interest;Investigation by Journal/Publisher;Lack of IRB/IACUC Approval and/or Compliance;Objections by Author(s);Upgrade/Update of Prior Notice(s);,No,
70119,Exploration of Multiple Signaling Pathways Through Which Sodium Tanshinone IIA Sulfonate Attenuates Pathologic Remodeling Experimental Infarction,(BLS) Genetics;(HSC) Medicine - Cardiovascular;(HSC) Medicine - Pharmacology;,"Key Discipline of Integrated Traditional Chinese and Western Medicine, Second Clinical College, Guangzhou University of Chinese Medicine, Guangzhou, China; Department of Critical Care Medicine, Guangdong Provincial Hospital of Chinese Medicine, Guangzhou, China; Medical School, St. George’s, University of London, London, United Kingdom; Physiology & Experimental Medicine, Hospital for Sick Children, Toronto, ON, Canada;",Frontiers in Pharmacology,Frontiers,Canada;China;United Kingdom,Shuai Mao;Matthew Vincent;Maosheng Chen;Minzhou Zhang;Aleksander Hinek,,Research Article;,2025-02-18,10.3389/fphar.2025.1575629,40046745.0,2019-07-11,10.3389/fphar.2019.00779,31354493.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Image;Duplication of Data;Duplication of/in Image;Euphemisms for Duplication;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Data;Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/079B740BDA87EBF507FDE151903B3E
70085,Assessment of Expression of Regulatory T Cell Differentiation Genes in Autism Spectrum Disorder,(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Pathology;(HSC) Medicine - Psychiatry;,"Skull Base Research Center, Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences, Tehran, Iran; Phytochemistry Research Center, Shahid Beheshti University of Medical Sciences, Tehran, Iran; Department of Pharmacognosy, College of Pharmacy, Hawler Medical University, Erbil, Iraq; Center of Research and Strategic Studies, Lebanese French University, Erbil, Iraq; Dietary Supplements and Probiotic Research Center, Alborz University of Medical Sciences, Karaj, Iran; Department of Medical Biotechnology, School of Medicine, Alborz University of Medical Sciences, Karaj, Iran; Institute of Human Genetics, Jena University Hospital, Jena, Germany; Department of Psychiatric, School of Medicine, Shahid Beheshti University of Medical Sciences, Tehran, Iran; Department of Medical Genetics, School of Medicine, Shahid Beheshti University of Medical Sciences, Tehran, Iran;",Frontiers in Molecular Neuroscience,Frontiers,Germany;Iran;Iraq,Mohammadarian Akbari;Reyhane Eghtedarian;Bashdar Mahmud Hussen;Solat Eslami;Mohammad Taheri;Seyedeh Morvarid Neishabouri;Soudeh Ghafouri-Fard,,Research Article;,2025-03-16,10.3389/fnmol.2025.1586805,40166714.0,2022-07-03,10.3389/fnmol.2022.939224,35860502.0,Retraction,Cites Retracted Work;Compromised Peer Review;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Author(s);Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/70D249440C74CBC1EB48A14BB636F7
70084,Lycorine Displays Potent Antitumor Efficacy in Colon Carcinoma by Targeting STAT3,(BLS) Biology - Cancer;(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Gastroenterology;(HSC) Medicine - Pathology;(HSC) Medicine - Pharmacology;,"Tianjin State Key Laboratory of Modern Chinese Medicine, Tianjin University of Traditional Chinese Medicine, Tianjin, China; School of Pharmacy, Tianjin Medical University, Tianjin, China; Department of Gastrointestinal Surgery, Nankai Hospital, Tianjin, China; Department of Colorectal Surgery, Tianjin Union Medical Center, Tianjin, China; School of Fundamental Sciences, China Medical University, Shenyang, China; Department of Chemistry, Myongji University, Seoul, South Korea;",Frontiers in Pharmacology,Frontiers,China;South Korea,Song Wu;Yuling Qiu;Yingying Shao;Shuangshuang Yin;Rui Wang;Xu Pang;Junhong Ma;Chunze Zhang;Bo Wu;Sangho Koo;Lifeng Han;Yi Zhang;Xiumei Gao;Tao Wang;Haiyang Yu,,Research Article;,2025-03-24,10.3389/fphar.2025.1596508,40201685.0,2018-08-07,10.3389/fphar.2018.00881,30135654.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Image;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Data;Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/66F4461C8873CA046F683A7215C2A1
70080,Impact of the Hydraulic Fracturing on Indoor Radon Concentrations in Ohio: A Multilevel Modeling Approach,(HSC) Medicine - Pulmonology;(HSC) Public Health and Safety;(PHY) Geology;,"Department of Geography and Planning, The University of Toledo, Toledo, OH, United States; Department of Civil and Environmental Engineering, The University of Toledo, Toledo, OH, United States;",Frontiers in Public Health,Frontiers,United States,Yanqing Xu;Mounika Sajja;Ashok Kumar,,Research Article;,2025-04-08,10.3389/fpubh.2025.1604930,40226314.0,2019-04-09,10.3389/fpubh.2019.00076,31024877.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Error in Data;Investigation by Journal/Publisher;Results Not Reproducible;Unreliable Results and/or Conclusions;,No,
70067,A Methylene Blue Assisted Electrochemical Sensor for Determination of Drug Resistance of Escherichia coli,(BLS) Microbiology;(BLS) Toxicology;(HSC) Medicine - Pharmacology;,"Department of Food and Drugs, Shandong Institute of Commerce and Technology, Jinan, China; Qilu Medical University, Jinan, China; Dong-E E-Jiao Co. Ltd., Liaocheng, China;",Frontiers in Chemistry,Frontiers,China,Rongshuai Duan;Xiao Fang;Dongliang Wang,,Research Article;,2025-05-28,10.3389/fchem.2025.1631230,40510261.0,2021-05-29,10.3389/fchem.2021.689735,34136465.0,Retraction,Error in Data;Investigation by Journal/Publisher;Unreliable Data;,No,
70066,Down-Regulation of miR-34a-5p Potentiates Protective Effect of Adipose-Derived Mesenchymal Stem Cells Against Ischemic Myocardial Infarction by Stimulating the Expression of C1q/Tumor Necrosis Factor-Related Protein-9,(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Cardiovascular;,"Surgical Department Cardiovascular Division, China Medical University Hsinchu Hospital, Hsinchu, Taiwan; Surgical Department Cardiovascular Division, China Medical University Hospital, Taichung City, Taiwan; Institute of Biochemistry, Microbiology and Immunology, Chung Shan Medical University, Taichung City, Taiwan;",Frontiers in Physiology,Frontiers,Taiwan,Chi-Feng Weng;Ching-Feng Wu;Shao-Hsuan Kao;Jeen-Chen Chen;Hui-Han Lin,,Research Article;,2025-06-04,10.3389/fphys.2025.1628944,40534640.0,2019-12-16,10.3389/fphys.2019.01445,31920683.0,Retraction,Concerns/Issues about Data;Concerns/Issues about Image;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Data;Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/2FFCAFE1CA071E0AA3CC27906D4335
70056,Eupalinolide J Suppresses the Growth of Triple-Negative Breast Cancer Cells via Targeting STAT3 Signaling Pathway,(BLS) Biology - Cancer;(BLS) Biology - Molecular;(BLS) Genetics;(HSC) Medicine - Pharmacology;,"School of Pharmaceutical Sciences, Zhejiang Chinese Medical University, Hangzhou, China; Department of Cell and Molecular Pharmacology and Experimental Therapeutics, Medical University of South Carolina, Charleston, SC, United States;",Frontiers in Pharmacology,Frontiers,China;United States,Chenghua Lou;Yan Chen;Jie Zhang;Bo Yang;Huajun Zhao,,Research Article;,2025-06-10,10.3389/fphar.2025.1639679,40567369.0,2019-09-18,10.3389/fphar.2019.01071,31607920.0,Retraction,Concerns/Issues about Image;Investigation by Journal/Publisher;Investigation by Third Party;,No,See also: https://pubpeer.com/publications/BA9F8960FC89544811C3E1479CC0EB
70055,USP22 Protects Against Myocardial Ischemia–Reperfusion Injury via the SIRT1-p53/SLC7A11–Dependent Inhibition of Ferroptosis–Induced Cardiomyocyte Death,(BLS) Biology - Cellular;(BLS) Biology - Molecular;(BLS) Genetics;(HSC) Medicine - Cardiovascular;,"Department of Anesthesiology, The Second Hospital of Hebei Medical University, Shijiazhuang, China; Department of Anesthesiology, Qingyun People's Hospital, Qingyun, China;",Frontiers in Physiology,Frontiers,China,Shuxian Ma;Linyan Sun;Wenhao Wu;Jiangli Wu;Zhangnan Sun;Jianjun Ren,,Research Article;,2025-06-11,10.3389/fphys.2025.1641580,40574900.0,2020-10-20,10.3389/fphys.2020.551318,33192549.0,Retraction,Concerns/Issues about Image;Investigation by Journal/Publisher;Investigation by Third Party;,No,See also: https://pubpeer.com/publications/AEF281007312C9C08F66AC0ABDBE80
70051,Polyphenolic Fraction Obtained From Thalassia testudinum Marine Plant and Thalassiolin B Exert Cytotoxic Effects in Colorectal Cancer Cells and Arrest Tumor Progression in a Xenograft Mouse Model,(HSC) Medicine - Oncology;(HSC) Medicine - Pharmacology;,"Dirección Médica, Laboratorios Liomont S.A. de C.V., Ciudad de México, México; Instituto de Ciencias del Mar (ICIMAR), La Habana, Cuba; Escuela Nacional de Medicina y Homeopatía, Instituto Politécnico Nacional, Ciudad de México, México; Universidad Nacional Autónoma de Mexico, Ciudad Universitaria, Ciudad de México, México; Departamento de Ciencias Farmacéuticas, Facultad de Ciencias, Universidad de Católica del Norte, Antofagasta, Chile; PPES Lab, Proteinchemistry, Proteomics and Epigenetic Signaling, Department of Biomedical Sciences, University of Antwerp, Antwerp, Belgium;",Frontiers in Pharmacology,Frontiers,Belgium;Chile;Cuba;Mexico,Livan Delgado-Roche;Kethia González;Fernando Mesta;Beatriz Couder;Zaira Tavarez;Ruby Zavala;Ivones Hernandez;Gabino Garrido;Idania Rodeiro;Wim Vanden Berghe,,Research Article;,2025-06-11,10.3389/fphar.2025.1639694,40575775.0,2020-11-29,10.3389/fphar.2020.592985,33390973.0,Retraction,Concerns/Issues about Image;Investigation by Journal/Publisher;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Unreliable Results and/or Conclusions;,No,See also: https://pubpeer.com/publications/7AD6E61DE5C9FA82E6CB974D9C22BA
70046,miR-16 and Fluoxetine Both Reverse Autophagic and Apoptotic Change in Chronic Unpredictable Mild Stress Model Rats,(BLS) Biology - Cellular;(BLS) Genetics;(HSC) Medicine - Neurology;(HSC) Medicine - Pediatrics;(HSC) Medicine - Pharmacology;(HSC) Medicine - Psychiatry;,"Institute of Neuroscience, Zhejiang University School of Medicine, Hangzhou, China; Department of Obstetrics and Gynecology, Hangzhou Red Cross Hospital, Hangzhou, China;",Frontiers in Neuroscience,Frontiers,China,Yang Yang;Zhiying Hu;Xiaoxue Du;Henry Davies;Xue Huo;Marong Fang,,Research Article;,2025-06-12,10.3389/fnins.2025.1642426,40584876.0,2017-07-24,10.3389/fnins.2017.00428,28790887.0,Retraction,Concerns/Issues about Data;Investigation by Journal/Publisher;Investigation by Third Party;,No,See also: https://pubpeer.com/publications/C0CA952D6C2577E1ABF0A3470B1096
