Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
63660,Big data tracking and automatic measurement technology for unmanned aerial vehicle trajectory based on MEMS sensor,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;,"Institute of Information Science and Engineering, Dalian Polytechnic University, Dalian, 116034, China;",Soft Computing,Springer - Nature Publishing Group,China,Jun Xing;Xinzhe Wang;Jie Dong,https://retractionwatch.com/2024/11/07/another-springer-nature-journal-has-retracted-over-300-papers-since-july/,Research Article;,2024-10-28,10.1007/s00500-024-10287-z,0.0,2022-03-23,10.1007/s00500-021-06457-y,0.0,Retraction,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,No,
63646,A full freedom pose measurement method for industrial robot based on reinforcement learning algorithm,(B/T) Business - General;(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(PHY) Engineering - Electrical;(PHY) Engineering - Mechanical;,"Huali College, Guangdong University of Technology, Guangzhou, 511325, China; Guangzhou Huali Science and Technology Vocational College, Guangzhou, 511325, China;",Soft Computing,Springer - Nature Publishing Group,China,Xinghua Lu;Yunsheng Chen;Ziyue Yuan,https://retractionwatch.com/2024/11/07/another-springer-nature-journal-has-retracted-over-300-papers-since-july/,Research Article;,2024-10-28,10.1007/s00500-024-10257-5,0.0,2021-08-29,10.1007/s00500-021-06190-6,0.0,Retraction,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,No,
63468,Machine learning based identification and classification of disorders in human knee joint – computational approach,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(HSC) Medicine - Orthopedics;,"School of Computing, SASTRA Deemed University, Tamil Nadu, Thanjavur, India; Department of Information Technology, School of Computing, SASTRA Deemed University, Tamil Nadu, Thanjavur, India;",Soft Computing,Springer - Nature Publishing Group,India,A Balajee;R Venkatesan,https://retractionwatch.com/2024/11/07/another-springer-nature-journal-has-retracted-over-300-papers-since-july/,Research Article;,2024-10-28,10.1007/s00500-024-10276-2,0.0,2021-08-18,10.1007/s00500-021-06134-0,0.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Rogue Editor;Unreliable Results and/or Conclusions;,No,
63461,Multivariate weighted isotonic regressive modest adaptive boosting-based resource-aware routing in WSN,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(PHY) Engineering - Electrical;(SOC) Communications;,"SRC, SASTRA Deemed to Be University, Kumbakonam, India; SASTRA Deemed to Be University, Thanjavur, India;",Soft Computing,Springer - Nature Publishing Group,India,N Muruganandam;V Venkatraman;R Venkatesan,https://retractionwatch.com/2024/11/07/another-springer-nature-journal-has-retracted-over-300-papers-since-july/,Research Article;,2024-10-24,10.1007/s00500-024-10241-z,0.0,2022-04-01,10.1007/s00500-022-07016-9,0.0,Retraction,Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Rogue Editor;Unreliable Results and/or Conclusions;,No,
63457,Dispatching and rebalancing for ride-sharing autonomous mobility-on-demand systems based on a fuzzy multi-criteria approach,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(B/T) Transportation;(B/T) Urban Planning;(PHY) Engineering - General;,"Universite de Pau et des Pays de l’Adour, E2S UPPA, LIUPPA, EA3000, Anglet, 64600, France;",Soft Computing,Springer - Nature Publishing Group,France,Rihab Khemiri;Mohamed Naija;Ernesto Exposito,https://retractionwatch.com/2024/11/07/another-springer-nature-journal-has-retracted-over-300-papers-since-july/,Research Article;,2024-10-10,10.1007/s00500-024-10168-5,0.0,2022-09-06,10.1007/s00500-022-07377-1,0.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,No,
63456,Fault location measurement of sensor nodes based on fuzzy control algorithm,(B/T) Computer Science;(B/T) Technology;(SOC) Communications;,"Information and Education Technology Center, Xi’an University of Finance and Economics, Xi’an, 710061, China;",Soft Computing,Springer - Nature Publishing Group,China,Nuo Yu,https://retractionwatch.com/2024/11/07/another-springer-nature-journal-has-retracted-over-300-papers-since-july/,Research Article;,2024-10-28,10.1007/s00500-024-10264-6,0.0,2021-08-21,10.1007/s00500-021-06145-x,0.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Compromised Peer Review;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,No,
63373,Cardiac arrhythmia detection using dual-tree wavelet transform and convolutional neural network,(B/T) Computer Science;(B/T) Data Science;(HSC) Medicine - Cardiovascular;,"Sree Vidyanikethan Engineering College, AP, Tirupati, India; GRIET, Hyderabad, India; KG Reddy College of Engineering and Technology, Hyderabad, India; CMR College of Engineering and Technology, Hyderabad, India; GMR Institute of Technology, AP, Rajam, India;",Soft Computing,Springer - Nature Publishing Group,India,K. Reddy Madhavi;Padmavathi Kora;L Venkateswara Reddy;J Avanija;K L S Soujanya;Prabhakar Telagarapu,https://retractionwatch.com/2024/11/07/another-springer-nature-journal-has-retracted-over-300-papers-since-july/,Research Article;,2024-10-24,10.1007/s00500-024-10226-y,0.0,2022-03-05,10.1007/s00500-021-06653-w,0.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Compromised Peer Review;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,No,
62975,Securing medical data by role-based user policy with partially homomorphic encryption in AWS cloud,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;(HSC) Medicine - General;,"Department of CSE, SRM Institute of Science and Technology, Tamil Nadu, Kattankulathur, India;",Soft Computing,Springer - Nature Publishing Group,India,M D Boomija;S V Kasmir Raja,https://retractionwatch.com/2024/11/07/another-springer-nature-journal-has-retracted-over-300-papers-since-july/,Research Article;,2024-07-15,10.1007/s00500-024-09980-w,0.0,2022-03-22,10.1007/s00500-022-06950-y,0.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Rogue Editor;Unreliable Results and/or Conclusions;,No,
62774,Hybrid high performance intelligent computing approach of CACNN and RNN for skin cancer image grading,(B/T) Computer Science;(B/T) Data Science;(HSC) Medicine - Dermatology;(HSC) Medicine - Oncology;(HSC) Radiology/Imaging;,"Industrial Innovation and Robotics Center, Faculty of Computers and Information Technology, University of Tabuk, Tabuk City, Saudi Arabia;",Soft Computing,Springer - Nature Publishing Group,Saudi Arabia,S Manimurugan,https://retractionwatch.com/2024/11/07/another-springer-nature-journal-has-retracted-over-300-papers-since-july/,Research Article;,2024-07-15,10.1007/s00500-024-09966-8,0.0,2022-03-29,10.1007/s00500-022-06989-x,0.0,Retraction,Author Unresponsive;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,No,
62345,A N-gram based approach to auto-extracting topics from research articles,(B/T) Business - General;(B/T) Computer Science;(B/T) Data Science;(SOC) Communications;,"Institute of Software, Chinese Academy of Sciences, Beijing, China; Institute of Data Science, City University of Macau, Macau, China; Product Development, Ericsson, Gothenburg, Sweden; Department of Computer Science and Engineering, University of Gothenburg, Gothenburg, Sweden; Faculty of Education, University of Malaya, Kuala Lumpur, Malaysia; Applied Psychology Program, BNU-HKBU United International College, China; College of Education for the Future, Beijing Normal University, Zhuhai, PR China;",Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),China;Malaysia;Sweden,Linkai Zhu;Wennan Wang;Maoyi Huang;Maomao Chen;Yiyun Wang;Zhiming Cai,https://retractionwatch.com/2024/08/23/exclusive-publisher-retracts-more-than-450-papers-from-journal-it-acquired-last-year/,Research Article;,2024-08-23,10.3233/jifs-219433,0.0,2022-09-22,10.3233/jifs-220115,0.0,Retraction,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;,No,The retraction notice page was finalized on 12/27/24
57404,Enabling Decentralized and Auditable Access Control for IoT through Blockchain and Smart Contracts,(B/T) Computer Science;(B/T) Technology;,"Elisa Corporation, Helsinki, Finland; European Commission, Joint Research Centre, Ispra 21027, Italy; Odin Solutions, R&D Department, Murcia 30820, Spain; University of Murcia, Department of Information and Communication Engineering, Murcia, Spain; NEC Laboratories Europe, Heidelberg 69115, Germany;",Security and Communication Networks,Hindawi,Finland;Germany;Italy;Spain,Hien Truong;José L. Hernández-Ramos;Juan A. Martinez;Jorge Bernal Bernabe;Wenting Li;Agustin Marin Frutos;Antonio Skarmeta,https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/;https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/,Research Article;,2024-01-09,10.1155/2024/9857812,0.0,2022-06-02,10.1155/2022/1828747,0.0,Retraction,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,No,
54102,Application of edge computing and GIS in ecological water requirement prediction and optimal allocation of water resources in irrigation area,(B/T) Computer Science;(B/T) Technology;(ENV) Environmental Sciences;(ENV) Ground/Surface Water;,"State Key Laboratory of Eco-hydraulics in Northwest Arid Region, Xi’an University of Technology, Xi’an, 710048, China;",PLoS One,PLoS,China,Yang Li;Jiancang Xie;Rengui Jiang;Dongfei Yan,,Research Article;,2024-06-06,10.1371/journal.pone.0305356,38843148.0,2021-07-29,10.1371/journal.pone.0254547,34324531.0,Retraction,Concerns/Issues about Peer Review;False/Forged Authorship;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,"Jiancang Xie,Rengui Jiang,and Dongfei Yan are said to not have contributed to the article;"
53995,A security technology of power relay using edge computing,(B/T) Computer Science;(B/T) Technology;(PHY) Engineering - Electrical;,"Key Laboratory of Process Monitoring and System Optimization for Mechanical and Electrical Equipment (Huaqiao University), Fujian Province University, Xiamen City, China;",PLoS One,PLoS,China,Zhongqing Sang;Kai Yang;Rencheng Zhang,,Research Article;,2024-05-08,10.1371/journal.pone.0303618,38718021.0,2021-09-02,10.1371/journal.pone.0253428,34473723.0,Retraction,Concerns/Issues about Peer Review;Investigation by Journal/Publisher;,No,
51281,PBTNet: a new computer-aided diagnosis system for detecting primary brain tumors,(B/T) Computer Science;(B/T) Data Science;(HSC) Medicine - Neurology;(HSC) Medicine - Oncology;,"School of Computing and Mathematical Sciences, University of Leicester, Leicester, United Kingdom; School of Computer Engineering, KIIT Deemed to University, Bhubaneswar, India;",Frontiers in Cell and Developmental Biology,Frontiers,India;United Kingdom,Si-Yuan Lu;Suresh Chandra Satapathy;Shui-Hua Wang;Yu-Dong Zhang,,Research Article;,2024-01-05,10.3389/fcell.2023.1358359,38250326.0,2021-10-15,10.3389/fcell.2021.765654,34722549.0,Retraction,Compromised Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,
